,id,version,set_num
32372,135612,1,41956-1
32373,135613,1,41957-1
32374,135614,1,41958-1
32375,135615,1,41959-1
32376,135616,1,41960-1
32377,135617,1,41962-1
32378,135618,1,43204-1
32379,135619,1,43206-1
32380,135620,1,60313-1
32381,135621,1,60331-1
32382,135622,1,60332-1
32383,135623,1,60333-1
32384,135625,1,60335-1
32385,135626,1,60336-1
32386,135627,1,60337-1
32387,135628,1,60338-1
32388,135629,1,60339-1
32389,135630,1,60340-1
32390,135631,1,60341-1
32391,135632,1,60342-1
32392,135634,1,60344-1
32393,135635,1,60345-1
32394,135636,1,60346-1
32395,135637,1,60347-1
32396,135638,1,60353-1
32397,135639,1,60355-1
32398,135640,1,71759-1
32399,135641,1,71768-1
32400,135642,1,71769-1
32401,135643,1,71770-1
32402,135644,1,71771-1
32403,135645,1,71772-1
32404,135646,1,71773-1
32405,135647,1,71774-1
32406,135648,1,71775-1
32407,135649,1,80038-1
32408,135650,1,80039-1
32409,135664,1,40560-1
32410,135690,1,31206-1
32411,135691,1,30435-1
32412,135694,1,40556-1
32413,135703,1,SLEEPER-1
32414,135705,1,5006254-1
32415,135706,1,5006387-1
32416,135710,1,5006582-1
32417,135761,1,21187-1
32418,135762,1,30510-1
32419,135763,1,30584-1
32420,135764,1,30590-1
32421,135765,1,31130-1
32422,135785,1,80037-1
32423,135786,1,41721-1
32424,135790,1,5002044-1
32425,135792,1,5002115-1
32426,135793,1,5002116-1
32427,135795,1,5002118-1
32428,135796,1,5002119-1
32429,135797,1,5002120-1
32430,135798,1,5002131-1
32431,135799,1,5002132-1
32432,135800,1,5002134-1
32433,135813,1,5005845-1
32434,135819,1,5000204-1
32435,135821,1,5001135-1
32436,135822,1,5001162-1
32437,135824,1,5001163-1
32438,135825,1,5001167-1
32439,135827,1,5002111-1
32440,135828,1,5002197-1
32441,135829,1,5002512-1
32442,135830,1,5002513-1
32443,135831,1,5002514-1
32444,135832,1,5002670-1
32445,135833,1,5002785-1
32446,135834,1,5002918-1
32447,135835,1,5002921-1
32448,135837,1,5002927-1
32449,135838,1,5002932-1
32450,135839,1,5002933-1
32451,135841,1,5002936-1
32452,135842,1,5002937-1
32453,135843,1,5002940-1
32454,135844,1,5003179-1
32455,135845,1,5003420-1
32456,135846,1,5003421-1
32457,135847,1,5003424-1
32458,135848,1,5003426-1
32459,135849,1,5003427-1
32460,135850,1,5003428-1
32461,135851,1,5003573-1
32462,135862,1,fig-012591
32463,135880,1,66707-1
32464,135961,1,5003468-1
32465,135986,1,5003483-1
32466,135987,1,5004193-1
32467,135988,1,5003477-1
32468,135989,1,5003471-1
32469,135990,1,45005-2
32470,135993,2,45011-1
32471,135998,2,10810-1
32472,136000,2,10525-1
32473,136002,2,45010-1
32474,136004,1,5003487-1
32475,136028,1,854190-1
32476,136029,1,854200-1
32477,136030,1,854156-1
32478,136031,1,854199-1
32479,136032,1,854155-1
32480,136033,1,854198-1
32481,136035,1,5007501-1
32482,136036,1,5007500-1
32483,136043,1,5003488-1
32484,136044,1,5003479-1
32485,136045,1,5003476-1
32486,136047,1,5003466-1
32487,136048,1,5003470-1
32488,136049,1,5003431-1
32489,136050,1,5003432-1
32490,136051,1,5003430-1
32491,136053,1,5003548-1
32492,136054,1,5004189-1
32493,136055,1,5004190-1
32494,136056,1,5004191-1
32495,136058,1,5004230-1
32496,136060,1,5004239-1
32497,136061,1,5004240-1
32498,136063,1,5004241-1
32499,136068,1,5004245-1
32500,136070,1,5004243-1
32501,136071,1,5004242-1
32502,136073,1,5004231-1
32503,136074,1,5004229-1
32504,136075,1,5004346-1
32505,136076,1,5004397-1
32506,136078,1,5004402-1
32507,136101,1,11022-1
32508,136102,1,11020-1
32509,136125,1,DOTS-SERIES-7
32510,136126,1,DOTS-MEGA-PACK-3
32511,136130,1,fig-012592
32512,136132,1,fig-012593
32513,136175,1,5004540-1
32514,136177,2,556-1
32515,136178,2,621-1
32516,136179,2,588-1
32517,136180,2,540-2
32518,136183,1,5004544-1
32519,136184,1,41961-1
32520,136186,1,41722-1
32521,136187,1,10979-1
32522,136188,1,5004591-1
32523,136189,1,5004803-1
32524,136190,1,5004809-1
32525,136193,1,5004810-1
32526,136194,1,5004815-1
32527,136195,1,5004816-1
32528,136196,1,5004818-1
32529,136197,1,5004822-1
32530,136200,1,5005013-1
32531,136205,1,5005029-1
32532,136238,1,5005044-1
32533,136286,1,952205-1
32534,136291,1,fig-012594
32535,136340,1,6412192-1
32536,136351,1,5005047-1
32537,136352,1,5005103-1
32538,136354,1,5005172-1
