,inventory_id,set_num,quantity
2402,24377,454-2,1
2403,24377,455-2,1
2404,24377,456-2,1
2405,24377,457-1,1
2406,24377,458-1,1
2407,24377,459-1,1
2408,24377,460-2,1
2409,24732,001-1,1
2410,24732,285-1,1
2411,24920,7331-1,1
2412,24920,7332-1,1
2413,24921,3274-1,1
2414,24921,3278-1,1
2415,24921,3281-1,1
2416,24922,3272-1,1
2417,24922,3273-1,1
2418,24922,3278-1,1
2419,24922,3279-1,1
2420,24922,3281-1,1
2421,24922,3282-1,1
2422,24922,3283-1,1
2423,24923,3279-1,1
2424,24923,3281-1,1
2425,24923,3283-1,1
2426,24973,3774-1,1
2427,24973,5554-1,1
2428,25007,2735-2,3
2429,25007,5552-1,1
2430,25007,5556-1,1
2431,25510,41775-1,1
2432,25510,41775-10,1
2433,25510,41775-11,1
2434,25510,41775-12,1
2435,25510,41775-2,1
2436,25510,41775-3,1
2437,25510,41775-4,1
2438,25510,41775-5,1
2439,25510,41775-6,1
2440,25510,41775-7,1
2441,25510,41775-8,1
2442,25510,41775-9,1
2443,25511,41775-0,60
2444,25699,4976-1,1
2445,25699,4987-1,1
2446,25699,4988-1,1
2447,25700,4976-1,1
2448,25700,4986-1,1
2449,25700,4987-1,1
2450,25701,2734-2,1
2451,25701,3774-1,1
2452,25701,5608-1,1
2453,25702,2734-2,1
2454,25702,3774-1,1
2455,25702,5608-1,1
2456,25703,3300-1,1
2457,25703,3301-1,1
2458,25703,3352-1,1
2459,25703,3354-1,1
2460,25703,5552-1,1
2461,25703,5554-1,1
2462,25703,5555-1,1
2463,25703,5556-1,1
2464,25704,3300-1,1
2465,25704,3301-1,1
2466,25704,5552-1,1
2467,25704,5554-1,1
2468,25704,5555-1,1
2469,25704,5556-1,1
2470,26185,71019-1,1
2471,26185,71019-10,1
2472,26185,71019-11,1
2473,26185,71019-12,1
2474,26185,71019-13,1
2475,26185,71019-14,1
2476,26185,71019-15,1
2477,26185,71019-16,1
2478,26185,71019-17,1
2479,26185,71019-18,1
2480,26185,71019-19,1
2481,26185,71019-2,1
2482,26185,71019-20,1
2483,26185,71019-3,1
2484,26185,71019-4,1
2485,26185,71019-5,1
2486,26185,71019-6,1
2487,26185,71019-7,1
2488,26185,71019-8,1
2489,26185,71019-9,1
2490,26188,71020-1,1
2491,26188,71020-10,1
2492,26188,71020-11,1
2493,26188,71020-12,1
2494,26188,71020-13,1
2495,26188,71020-14,1
2496,26188,71020-15,1
2497,26188,71020-16,1
2498,26188,71020-17,1
2499,26188,71020-18,1
2500,26188,71020-19,1
2501,26188,71020-2,1
2502,26188,71020-20,1
2503,26188,71020-3,1
2504,26188,71020-4,1
2505,26188,71020-5,1
2506,26188,71020-6,1
2507,26188,71020-7,1
2508,26188,71020-8,1
2509,26188,71020-9,1
2510,26232,10605-1,1
2511,26232,10606-1,1
2512,26236,5606-1,1
2513,26236,5633-1,1
2514,26236,5634-1,1
2515,26237,4962-1,1
2516,26237,4972-1,1
2517,26237,5632-1,1
2518,26237,5635-1,1
2519,26238,4962-1,1
2520,26238,6172-1,1
2521,26238,6173-1,1
2522,26306,5645-1,1
2523,26306,5647-1,1
2524,26306,5649-1,1
2525,26307,5644-1,1
2526,26307,5646-1,1
2527,26307,5649-1,1
2528,26308,4683-1,1
2529,26308,4969-1,1
2530,26308,4973-1,1
2531,26308,4975-1,1
2532,26309,4665-1,1
2533,26309,4687-1,1
2534,26309,4975-1,1
2535,26437,4963-1,1
2536,26437,4979-1,1
2537,26437,5602-1,1
2538,26724,71022-1,1
2539,26724,71022-10,1
2540,26724,71022-11,1
2541,26724,71022-12,1
2542,26724,71022-13,1
2543,26724,71022-14,1
2544,26724,71022-15,1
2545,26724,71022-16,1
2546,26724,71022-17,1
2547,26724,71022-18,1
2548,26724,71022-19,1
2549,26724,71022-2,1
2550,26724,71022-20,1
2551,26724,71022-21,1
2552,26724,71022-22,1
2553,26724,71022-3,1
2554,26724,71022-4,1
2555,26724,71022-5,1
2556,26724,71022-6,1
2557,26724,71022-7,1
2558,26724,71022-8,1
2559,26724,71022-9,1
2560,26853,10581-1,1
2561,26853,10582-1,1
2562,26853,10584-1,1
2563,27003,1503-1,1
2564,27003,1504-2,1
2565,27588,5514-1,1
2566,27588,5536-1,1
2567,27630,5002887-2,1
2568,27630,5002888-2,1
2569,27646,5509-1,1
2570,27646,6130-1,1
2571,27647,5572-1,1
2572,27647,5575-1,1
2573,27742,11910-1,1
2574,27927,5572-1,1
2575,27927,5575-1,1
2576,28285,5572-1,1
2577,28285,5575-1,1
2578,28639,60053-1,1
2579,28639,60055-1,1
2580,28639,60060-1,1
2581,28642,75109-1,1
2582,28642,75112-1,1
2583,28643,75110-1,1
2584,28643,75111-1,1
2585,29100,45009-1,1
2586,29100,45010-1,1
2587,29100,45018-1,1
2588,29100,45019-1,1
2589,29109,2242-1,1
2590,29109,5492-1,1
2591,29163,45000-1,1
2592,29163,45001-1,1
2593,29163,45011-1,1
2594,29163,9090-1,1
2595,29164,45006-1,1
2596,29164,45010-1,1
2597,29164,45021-1,1
2598,29165,2751-2,3
2599,29165,2751-3,3
2600,29165,2751-4,3
2601,29165,2751-5,3
2602,29216,45007-1,1
2603,29216,45012-1,1
2604,29216,9090-1,1
2605,29217,9656-1,1
2606,30235,45002-1,1
2607,30235,45006-1,1
2608,30235,45010-1,1
2609,30236,45000-1,1
2610,30236,45001-1,1
2611,30236,45011-1,1
2612,30236,9090-1,1
2613,30237,45000-1,1
2614,30237,9090-1,1
2615,30238,9027-1,1
2616,30238,9071-1,1
2617,30238,9076-1,1
2618,30238,9230-1,1
2619,30239,45000-1,1
2620,30239,45080-1,1
2621,30239,9090-1,1
2622,30243,9656-1,1
2623,30244,9656-1,1
2624,30510,70135-1,1
2625,30510,70141-1,2
2626,30510,70142-1,1
2627,30510,70143-1,1
2628,30510,70144-1,1
2629,30510,70145-1,2
2630,30510,70146-1,1
2631,30510,70147-1,1
2632,30510,70220-1,1
2633,30510,70221-1,1
2634,30510,70222-1,1
2635,30510,70223-1,1
