,inventory_id,fig_num,quantity
968,1499,fig-000971,1
969,1500,fig-008112,1
970,1500,fig-008113,1
971,1500,fig-008114,2
972,1503,fig-000654,1
973,1513,fig-002781,1
974,1517,fig-001022,1
975,1520,fig-004214,1
976,1520,fig-004215,1
977,1520,fig-004216,1
978,1520,fig-004217,1
979,1520,fig-004218,1
980,1521,fig-001733,1
981,1521,fig-007877,1
982,1521,fig-007878,1
983,1521,fig-007879,1
984,1526,fig-000258,1
985,1526,fig-000699,1
986,1526,fig-008016,1
987,1526,fig-008147,1
988,1531,fig-000346,1
989,1534,fig-000635,1
990,1537,fig-001386,1
991,1537,fig-001389,1
992,1537,fig-001486,1
993,1537,fig-008239,1
994,1548,fig-005718,1
995,1548,fig-005719,1
996,1549,fig-004400,1
997,1549,fig-008763,1
998,1555,fig-002431,1
999,1555,fig-003448,1
1000,1566,fig-002057,1
1001,1566,fig-002543,1
1002,1566,fig-002544,1
1003,1566,fig-002545,1
1004,1578,fig-001470,1
1005,1579,fig-002482,1
1006,1579,fig-009900,1
1007,1579,fig-009908,2
1008,1579,fig-009954,1
1009,1579,fig-009955,1
1010,1579,fig-009956,1
1011,1580,fig-001545,1
1012,1582,fig-010268,1
1013,1585,fig-001184,2
1014,1589,fig-005236,1
1015,1589,fig-005297,1
1016,1589,fig-005311,1
1017,1589,fig-005323,1
1018,1589,fig-005464,1
1019,1589,fig-005465,1
1020,1589,fig-005469,1
1021,1589,fig-005520,1
1022,1589,fig-005564,1
1023,1594,fig-000052,1
1024,1594,fig-000787,1
1025,1599,fig-003722,1
1026,1599,fig-003724,1
1027,1599,fig-010437,2
1028,1608,fig-000609,1
1029,1611,fig-000409,1
1030,1616,fig-002229,2
1031,1619,fig-000004,1
1032,1620,fig-006297,1
1033,1620,fig-006298,1
1034,1624,fig-009400,1
1035,1624,fig-009401,1
1036,1624,fig-009402,1
1037,1624,fig-009403,1
1038,1624,fig-009404,1
1039,1624,fig-009405,1
1040,1625,fig-002250,1
1041,1625,fig-005775,1
1042,1625,fig-005776,1
1043,1625,fig-005777,1
1044,1625,fig-005778,1
1045,1625,fig-005779,1
1046,1625,fig-009387,3
1047,1627,fig-006616,1
1048,1627,fig-006617,2
1049,1630,fig-001804,1
1050,1630,fig-004661,1
1051,1637,fig-005101,1
1052,1637,fig-008811,1
1053,1637,fig-008812,1
1054,1639,fig-000723,1
1055,1642,fig-007484,1
1056,1642,fig-007485,1
1057,1642,fig-007486,1
1058,1646,fig-000885,1
1059,1654,fig-000941,1
1060,1656,fig-001035,1
1061,1660,fig-005893,1
1062,1660,fig-005894,1
1063,1660,fig-005895,1
1064,1660,fig-005896,1
1065,1660,fig-005897,1
1066,1661,fig-000558,1
1067,1662,fig-000508,1
1068,1668,fig-003534,1
1069,1668,fig-003621,1
1070,1669,fig-001007,1
1071,1678,fig-009376,1
1072,1678,fig-009377,1
1073,1678,fig-009378,1
1074,1686,fig-000234,1
1075,1692,fig-005135,3
1076,1700,fig-003690,1
1077,1700,fig-003839,1
1078,1700,fig-003840,1
1079,1700,fig-003841,1
1080,1702,fig-000297,1
1081,1705,fig-001326,1
1082,1706,fig-005625,1
1083,1710,fig-001008,1
1084,1713,fig-000361,1
1085,1719,fig-006390,1
1086,1734,fig-007621,1
1087,1734,fig-007638,1
1088,1736,fig-000030,1
1089,1749,fig-002589,1
1090,1749,fig-002590,1
1091,1749,fig-002591,1
1092,1751,fig-000386,1
1093,1751,fig-008604,1
1094,1751,fig-008605,1
1095,1751,fig-008606,1
1096,1751,fig-008607,1
1097,1751,fig-008608,1
1098,1756,fig-000341,1
1099,1756,fig-010410,1
1100,1766,fig-001150,1
1101,1768,fig-005745,1
1102,1770,fig-009205,1
1103,1770,fig-009206,1
1104,1770,fig-009207,1
1105,1770,fig-009208,1
1106,1770,fig-009209,1
1107,1770,fig-009210,1
1108,1772,fig-000141,1
1109,1776,fig-009431,1
1110,1776,fig-009432,1
1111,1785,fig-000195,1
1112,1785,fig-000359,1
1113,1785,fig-000622,1
1114,1785,fig-000631,1
1115,1786,fig-007158,1
